destination,terminal,aisle,gate,time,flight,statusCode,status,extract_date
['FRA'],T1,B,64,00:35,"[{'no': 'CX 289', 'airline': 'CPA'}, {'no': 'LH 7015', 'airline': 'DLH'}]",DA,Dep 01:09,2020-12-01
['AMS'],T1,B,47,00:50,"[{'no': 'CX 271', 'airline': 'CPA'}]",DA,Dep 01:08,2020-12-01
['LHR'],T1,,5,01:10,"[{'no': 'BA 032F', 'airline': 'BAW'}]",DA,Dep 01:34,2020-12-01
['LHR'],T1,,45,01:30,"[{'no': 'BA 028F', 'airline': 'BAW'}]",DA,Dep 01:22,2020-12-01
['TLV'],T1,B,26,01:30,"[{'no': 'CX 675', 'airline': 'CPA'}]",DA,Dep 01:21,2020-12-01
['KIX'],T1,B,31,01:50,"[{'no': 'CX 566', 'airline': 'CPA'}]",DA,Dep 10:38,2020-12-01
['SVO'],T1,,,02:00,"[{'no': 'FV 4502', 'airline': 'SDM'}]",DA,Dep 00:55,2020-12-01
['ICN'],T1,,7,03:00,"[{'no': 'KE 612', 'airline': 'KAL'}, {'no': 'DL 9041', 'airline': 'DAL'}]",DA,Dep 03:06,2020-12-01
['KTM'],T1,E,34,05:45,"[{'no': 'RA 410', 'airline': 'RNA'}]",DA,Dep 06:14,2020-12-01
['MNL'],T1,B,64,07:40,"[{'no': 'CX 907', 'airline': 'CPA'}]",DA,Dep 07:38,2020-12-01
['CEB'],T1,B,30,08:20,"[{'no': 'CX 921', 'airline': 'CPA'}, {'no': 'PR 921', 'airline': 'PAL'}]",DA,Dep 08:20,2020-12-01
['SGN'],T1,B,,08:25,"[{'no': 'CX 767', 'airline': 'CPA'}, {'no': 'AA 8910', 'airline': 'AAL'}, {'no': 'VN 3563', 'airline': 'HVN'}, {'no': 'QF 8239', 'airline': 'QFA'}]",DA,Dep 08:20,2020-12-01
['PEK'],T1,B,26,09:00,"[{'no': 'CX 386', 'airline': 'CPA'}, {'no': 'CA 6604', 'airline': 'CCA'}]",DA,Dep 09:20,2020-12-01
['TPE'],T1,,,09:05,"[{'no': 'HX 252', 'airline': 'CRK'}, {'no': 'BR 2898', 'airline': 'EVA'}]",DA,Dep 09:37,2020-12-01
['SIN'],T1,B,36,09:10,"[{'no': 'CX 691', 'airline': 'CPA'}, {'no': 'AA 8890', 'airline': 'AAL'}]",DA,Dep 09:03,2020-12-01
['ICN'],T1,B,,09:20,"[{'no': 'CX 410', 'airline': 'CPA'}, {'no': 'QF 8223', 'airline': 'QFA'}, {'no': 'AA 8887', 'airline': 'AAL'}]",DA,Dep 09:22,2020-12-01
['LHR'],T1,,7,09:20,"[{'no': 'VS 637', 'airline': 'VIR'}]",DA,Dep 09:07,2020-12-01
['MNL'],T1,,34,09:25,"[{'no': '5J 109', 'airline': 'CEB'}]",DA,Dep 09:17,2020-12-01
['KIX'],T1,B,,09:25,"[{'no': 'CX 562', 'airline': 'CPA'}, {'no': 'JL 7068', 'airline': 'JAL'}]",DA,Dep 09:30,2020-12-01
['KIX'],T1,B,23,09:35,"[{'no': 'CX 596', 'airline': 'CPA'}, {'no': 'JL 7028', 'airline': 'JAL'}]",DA,Dep 09:27,2020-12-01
"['NRT', 'ORD']",T1,,5,09:40,"[{'no': 'UA 2864', 'airline': 'UAL'}]",DA,Dep 09:19,2020-12-01
['PVG'],T1,B,25,09:55,"[{'no': 'CX 368', 'airline': 'CPA'}]",DA,Dep 09:54,2020-12-01
['BNE'],T1,B,24,10:00,"[{'no': 'CX 157', 'airline': 'CPA'}]",DA,Dep 10:02,2020-12-01
['NRT'],T1,B,60,10:30,"[{'no': 'CX 520', 'airline': 'CPA'}, {'no': 'JL 7046', 'airline': 'JAL'}, {'no': 'AA 8882', 'airline': 'AAL'}]",DA,Dep 10:39,2020-12-01
['TPE'],T1,,30,11:05,"[{'no': 'CI 904', 'airline': 'CAL'}]",DA,Dep 10:45,2020-12-01
['FUK'],T1,B,6,11:10,"[{'no': 'CX 588', 'airline': 'CPA'}]",DA,Dep 10:59,2020-12-01
['SYX'],T1,,,11:10,"[{'no': 'HX 169', 'airline': 'CRK'}, {'no': 'HU 8271', 'airline': 'CHH'}]",DA,Dep 10:55,2020-12-01
['TPE'],T1,,7,11:15,"[{'no': 'BR 852', 'airline': 'EVA'}, {'no': 'HX 1822', 'airline': 'CRK'}]",DA,Dep 11:06,2020-12-01
['KIX'],T1,,70,11:30,"[{'no': 'HX 618', 'airline': 'CRK'}, {'no': 'AI 7172', 'airline': 'AIC'}, {'no': 'EY 4292', 'airline': 'ETD'}]",DA,Dep 11:19,2020-12-01
['MNL'],T1,F,47,11:30,"[{'no': 'PR 301', 'airline': 'PAL'}]",DA,Dep 11:18,2020-12-01
['CGK'],T1,,11,11:40,"[{'no': 'GA 8734', 'airline': 'GIA'}]",DA,Dep 11:31,2020-12-01
['KIX'],T1,B,66,11:45,"[{'no': 'CX 506', 'airline': 'CPA'}, {'no': 'JL 7052', 'airline': 'JAL'}]",DA,Dep 11:34,2020-12-01
['BKK'],T1,B,43,12:00,"[{'no': 'CX 653', 'airline': 'CPA'}, {'no': 'AA 8941', 'airline': 'AAL'}, {'no': 'PG 4556', 'airline': 'BKP'}, {'no': 'AY 5843', 'airline': 'FIN'}]",DA,Dep 11:57,2020-12-01
['PVG'],T1,J,26,12:30,"[{'no': 'MU 502', 'airline': 'CES'}, {'no': 'FM 3002', 'airline': 'CSH'}, {'no': 'HO 3504', 'airline': 'DKH'}]",DA,Dep 12:33,2020-12-01
['SIN'],T1,,24,12:30,"[{'no': 'SQ 869', 'airline': 'SIA'}]",DA,Dep 12:15,2020-12-01
"['VKO', 'LGG']",TT,,,12:40,"[{'no': 'ZF 2014', 'airline': 'AZV'}]",DA,Dep 22:17,2020-12-01
['KUL'],T1,B,27,12:45,"[{'no': 'CX 725', 'airline': 'CPA'}]",DA,Dep 12:42,2020-12-01
['PVG'],T1,,,13:00,"[{'no': 'HX 246', 'airline': 'CRK'}]",DA,Dep 12:40,2020-12-01
['ICN'],T1,E,25,13:15,"[{'no': 'OZ 722', 'airline': 'AAR'}, {'no': 'HX 1552', 'airline': 'CRK'}]",DA,Dep 13:11,2020-12-01
['TPE'],T1,,7,13:35,"[{'no': 'BR 868', 'airline': 'EVA'}]",DA,Dep 13:18,2020-12-01
['PVG'],T1,B,62,13:40,"[{'no': 'CX 360', 'airline': 'CPA'}]",DA,Dep 13:35,2020-12-01
['TPE'],T1,,,13:55,"[{'no': 'HX 254', 'airline': 'CRK'}, {'no': 'BR 2900', 'airline': 'EVA'}]",DA,Dep 13:47,2020-12-01
"['NRT', 'LAX']",T1,,23,14:00,"[{'no': 'AA 9741', 'airline': 'AAL'}]",DA,Dep 13:43,2020-12-01
['ICN'],T1,B,33,14:05,"[{'no': 'CX 418', 'airline': 'CPA'}, {'no': 'QF 8229', 'airline': 'QFA'}]",DA,Dep 14:12,2020-12-01
['TPE'],T1,,11,14:10,"[{'no': 'CI 910', 'airline': 'CAL'}]",DA,Dep 13:38,2020-12-01
['SIN'],T1,,34,14:10,"[{'no': 'TR 979', 'airline': 'TGW'}]",DA,Dep 13:46,2020-12-01
['MNL'],T1,B,35,14:20,"[{'no': 'CX 919', 'airline': 'CPA'}]",DA,Dep 16:02,2020-12-01
['HAN'],T1,,,14:30,"[{'no': 'HX 528', 'airline': 'CRK'}]",DA,Dep 21:15,2020-12-01
['BKK'],T1,,60,14:40,"[{'no': 'FD 9001', 'airline': 'AIQ'}]",DA,Dep 14:22,2020-12-01
['HND'],T1,,30,14:55,"[{'no': 'NH 860', 'airline': 'ANA'}, {'no': 'UA 7918', 'airline': 'UAL'}]",DA,Dep 14:46,2020-12-01
['BWN'],T1,D,31,14:55,"[{'no': 'BI 636', 'airline': 'RBA'}, {'no': 'HX 1636', 'airline': 'CRK'}]",DA,Dep 14:34,2020-12-01
['NRT'],T1,,27,15:20,"[{'no': 'NH 9646', 'airline': 'ANA'}]",DA,Dep 15:10,2020-12-01
['AKL'],T1,B,45,15:20,"[{'no': 'CX 199', 'airline': 'CPA'}]",DA,Dep 15:16,2020-12-01
['RMQ'],T1,,34,15:40,"[{'no': 'AE 1820', 'airline': 'MDA'}]",DA,Dep 15:33,2020-12-01
['SIN'],T1,,24,15:45,"[{'no': 'SQ 861', 'airline': 'SIA'}, {'no': 'AC 6301', 'airline': 'ACA'}, {'no': 'VA 5642', 'airline': 'VOZ'}]",DA,Dep 15:17,2020-12-01
['HND'],T1,,7,15:55,"[{'no': 'JL 026', 'airline': 'JAL'}, {'no': 'HA 5000', 'airline': 'HAL'}, {'no': 'CX 6320', 'airline': 'CPA'}]",DA,Dep 15:39,2020-12-01
['KHH'],T1,,11,16:10,"[{'no': 'CI 936', 'airline': 'CAL'}, {'no': 'AE 5216', 'airline': 'MDA'}]",DA,Dep 15:10,2020-12-01
['BKK'],T1,B,41,16:10,"[{'no': 'CX 701', 'airline': 'CPA'}, {'no': 'AC 9763', 'airline': 'ACA'}, {'no': 'PG 4560', 'airline': 'BKP'}, {'no': 'QR 3451', 'airline': 'QTR'}]",DA,Dep 16:14,2020-12-01
['XMN'],T1,J,29,16:10,"[{'no': 'MF 382', 'airline': 'CXA'}, {'no': 'CZ 4028', 'airline': 'CSN'}]",DA,Dep 17:15,2020-12-01
['DXB'],T1,B,32,16:30,"[{'no': 'CX 731', 'airline': 'CPA'}]",DA,Dep 17:06,2020-12-01
['SGN'],T1,B,47,16:50,"[{'no': 'CX 799', 'airline': 'CPA'}, {'no': 'QR 5820', 'airline': 'QTR'}, {'no': 'AC 9769', 'airline': 'ACA'}, {'no': 'AY 5853', 'airline': 'FIN'}, {'no': 'QF 8241', 'airline': 'QFA'}, {'no': 'BA 4563', 'airline': 'BAW'}, {'no': 'JL 7927', 'airline': 'JAL'}, {'no': 'VN 3561', 'airline': 'HVN'}]",DA,Dep 16:48,2020-12-01
['HAN'],T1,B,,17:30,"[{'no': 'CX 743', 'airline': 'CPA'}]",DA,Dep 18:31,2020-12-01
['TPE'],T1,F,11,17:45,"[{'no': 'CI 916', 'airline': 'CAL'}]",DA,Dep 17:34,2020-12-01
['TPE'],T1,B,64,18:30,"[{'no': 'CX 402', 'airline': 'CPA'}]",DA,Dep 18:32,2020-12-01
['KHH'],T1,,31,18:50,"[{'no': 'CI 938', 'airline': 'CAL'}, {'no': 'AE 5218', 'airline': 'MDA'}]",DA,Dep 17:59,2020-12-01
['SYD'],T1,B,26,18:55,"[{'no': 'CX 111', 'airline': 'CPA'}, {'no': 'OM 5601', 'airline': 'MGL'}, {'no': 'BA 4133', 'airline': 'BAW'}, {'no': 'LX 9501', 'airline': 'SWR'}, {'no': 'LA 5643', 'airline': 'LAN'}, {'no': 'LH 7001', 'airline': 'DLH'}, {'no': 'QR 3463', 'airline': 'QTR'}, {'no': 'AY 5841', 'airline': 'FIN'}]",DA,Dep 20:00,2020-12-01
['CGK'],T1,B,,19:05,"[{'no': 'CX 797', 'airline': 'CPA'}, {'no': 'BA 4575', 'airline': 'BAW'}, {'no': 'AA 8917', 'airline': 'AAL'}, {'no': 'QR 5809', 'airline': 'QTR'}]",DA,Dep 18:55,2020-12-01
['DOH'],T1,E,25,19:05,"[{'no': 'QR 817', 'airline': 'QTR'}, {'no': 'CX 9291', 'airline': 'CPA'}, {'no': 'IB 7924', 'airline': 'IBE'}]",DA,Dep 19:01,2020-12-01
['SIN'],T1,L,30,19:15,"[{'no': 'TR 981', 'airline': 'TGW'}, {'no': 'SQ 8505', 'airline': 'SIA'}]",DA,Dep 19:12,2020-12-01
['MNL'],T1,,47,19:35,"[{'no': '5J 117', 'airline': 'CEB'}]",DA,Dep 19:24,2020-12-01
['TPE'],T1,,7,19:40,"[{'no': 'BR 872', 'airline': 'EVA'}, {'no': 'HX 1832', 'airline': 'CRK'}]",DA,Dep 19:23,2020-12-01
['JFK'],T1,B,4,19:45,"[{'no': 'CX 846', 'airline': 'CPA'}, {'no': 'AA 8928', 'airline': 'AAL'}, {'no': 'MH 9186', 'airline': 'MAS'}]",DA,Dep 19:48,2020-12-01
"['DEL', 'DXB']",T1,,,20:10,"[{'no': '5M 774', 'airline': 'HFM'}]",DA,Dep 21:41,2020-12-01
['PVG'],T1,,,21:00,"[{'no': 'HX 234', 'airline': 'CRK'}, {'no': 'HU 8355', 'airline': 'CHH'}]",DA,Dep 20:52,2020-12-01
['DOH'],T1,,64,21:00,"[{'no': 'QR 8593', 'airline': 'QTR'}]",DA,Dep 20:43,2020-12-01
"['BKK', 'DXB']",T1,G,34,21:00,"[{'no': 'EK 385', 'airline': 'UAE'}]",DA,Dep 20:29,2020-12-01
['TPE'],T1,,31,21:10,"[{'no': 'CI 924', 'airline': 'CAL'}]",DA,Dep 20:14,2020-12-01
['TPE'],T1,,7,21:10,"[{'no': 'BR 858', 'airline': 'EVA'}]",DA,Dep 20:54,2020-12-01
"['BKK', 'AMS']",T1,D,29,21:20,"[{'no': 'KL 848', 'airline': 'KLM'}]",DA,Dep 21:06,2020-12-01
['AKL'],T1,B,,21:25,"[{'no': 'CX 113', 'airline': 'CPA'}, {'no': 'BA 4551', 'airline': 'BAW'}, {'no': 'AY 5101', 'airline': 'FIN'}, {'no': 'LX 9521', 'airline': 'SWR'}, {'no': 'LA 5633', 'airline': 'LAN'}, {'no': 'QR 3455', 'airline': 'QTR'}, {'no': 'NZ 4994', 'airline': 'ANZ'}, {'no': 'LH 7021', 'airline': 'DLH'}]",DA,Dep 21:26,2020-12-01
"['GUM', 'LAX']",T1,,27,21:25,"[{'no': 'UA 2851', 'airline': 'UAL'}]",DA,Dep 21:12,2020-12-01
