Name,Rating
Qatar Airways,1
Singapore Airlines,2
ANA All Nippon Airways,3
Cathay Pacific Airways,4
Emirates,5
EVA Air,6
Hainan Airlines,7
Qantas Airways,8
Lufthansa,9
Thai Airways,10
Japan Airlines,11
Garuda Indonesia,12
Swiss International Air Lines,13
China Southern Airlines,14
Austrian Airlines,15
Air New Zealand,16
Bangkok Airways,17
KLM Royal Dutch Airlines,18
British Airways,19
AirAsia,20
Virgin Atlantic,21
Aeroflot,22
Air France,23
Hong Kong Airlines,24
Virgin Australia,25
Iberia,26
Turkish Airlines,27
Asiana Airlines,28
Etihad Airways,29
Philippine Airlines,30
Air Canada,31
Finnair,32
Cathay Dragon,33
China Airlines,34
Korean Air,35
Malaysia Airlines,36
EasyJet,37
Aer Lingus,38
Norwegian,39
jetBlue Airways,40
Delta Air Lines,41
Aegean Airlines,42
Oman Air,43
Ethiopian Airlines,44
Fiji Airways,45
South African Airways,46
Southwest Airlines,47
AirAsia X,48
LATAM,49
Azul Airlines,50
Air Astana,51
Azerbaijan Airlines,52
Jetstar Airways,53
Alaska Airlines,54
WestJet,55
Vietnam Airlines,56
Saudi Arabian Airlines,57
IndiGo,58
Ryanair,59
Air Transat,60
Air Mauritius,61
SilkAir,62
Eurowings,63
Scoot,64
SAS Scandinavian,65
Royal Brunei Airlines,66
LOT Polish,67
United Airlines,68
Vistara,69
Avianca,70
Gulf Air,71
Alitalia,72
AtlasGlobal,73
American Airlines,74
China Eastern Airlines,75
TAP Portugal,76
TUI Airways,77
Copa Airlines,78
Brussels Airlines,79
Juneyao Airlines,80
Jetstar Asia,81
Porter Airlines,82
Hawaiian Airlines,83
American Eagle,84
PAL Express,85
Peach,86
Air Malta,87
Air Seychelles,88
Air Dolomiti,89
Kenya Airways,90
Vueling Airlines,91
Air Canada rouge,92
Royal Air Maroc,93
LEVEL,94
Jet2.com,95
S7 Airlines,96
Royal Jordanian Airlines,97
Flynas,98
Air China,99
Icelandair,100
